> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 127.0.0.1 - - [04/Feb/2019 10:59:47] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [04/Feb/2019 10:59:49] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 304 -
> 127.0.0.1 - - [04/Feb/2019 10:59:49] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
> 127.0.0.1 - - [04/Feb/2019 10:59:49] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
> 127.0.0.1 - - [04/Feb/2019 10:59:50] "GET /static/js/jquery.js HTTP/1.1" 304 -
> 127.0.0.1 - - [04/Feb/2019 10:59:50] "GET /static/js/eyecon-datepicker.js HTTP/1.1" 304 -
> 127.0.0.1 - - [04/Feb/2019 10:59:50] "GET /static/css/eyecon-datepicker.css HTTP/1.1" 304 -
> 127.0.0.1 - - [04/Feb/2019 10:59:51] "GET /static/img/glyphicons-halflings.png HTTP/1.1" 304 -
> 127.0.0.1 - - [04/Feb/2019 10:59:52] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [04/Feb/2019 11:09:49] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [04/Feb/2019 11:09:51] "GET /static/favicon.ico HTTP/1.1" 200 -
> C:\Users\gherz-PC\Desktop\remidiv2\serveus\views.py:84: FlaskWTFDeprecationWarning: "flask_wtf.Form" has been renamed to "FlaskForm" and will be removed in 1.0.
>   return render_template("index.html",login_form = LoginForm(), recovery_form = RecoveryForm())
> C:\Users\gherz-PC\Desktop\remidiv2\serveus\views.py:84: FlaskWTFDeprecationWarning: "flask_wtf.Form" has been renamed to "FlaskForm" and will be removed in 1.0.
>   return render_template("index.html",login_form = LoginForm(), recovery_form = RecoveryForm())
> 192.168.137.1 - - [04/Feb/2019 11:10:55] "GET / HTTP/1.1" 200 -
> 192.168.137.1 - - [04/Feb/2019 11:10:55] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 200 -
> 192.168.137.1 - - [04/Feb/2019 11:10:56] "GET /static/js/sha1.js HTTP/1.1" 200 -
> 192.168.137.1 - - [04/Feb/2019 11:10:56] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
> 192.168.137.1 - - [04/Feb/2019 11:10:58] "GET /static/js/jquery.js HTTP/1.1" 200 -
> 192.168.137.1 - - [04/Feb/2019 11:10:58] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
> 192.168.137.1 - - [04/Feb/2019 11:11:03] "GET /static/favicon.ico HTTP/1.1" 200 -
> 192.168.137.184 - - [04/Feb/2019 11:11:33] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.184 - - [04/Feb/2019 11:11:35] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.184 - - [04/Feb/2019 11:11:43] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.184 - - [04/Feb/2019 11:13:06] "POST /api/init/ HTTP/1.1" 200 -
> 192.168.137.184 - - [04/Feb/2019 11:13:07] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.184 - - [04/Feb/2019 11:13:08] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.184 - - [04/Feb/2019 11:13:08] "POST /api/chunk/ HTTP/1.1" 200 -
